date,Labor2ppAUS,Pollster
7/09/07,60,Morgan
9/09/07,57,Nielsen
14/09/07,59,Morgan
15/09/07,55,Newspoll
21/09/07,56.5,Morgan
24/09/07,56,Galaxy
28/09/07,60.5,Morgan
29/09/07,56,Newspoll
5/10/07,61,Morgan
7/10/07,56,Nielsen
9/10/07,59,Morgan
12/10/07,57.5,Morgan
13/10/07,56,Newspoll
18/10/07,53,Galaxy
19/10/07,54,Nielsen
19/10/07,55.5,Morgan
20/10/07,58,Newspoll
26/10/07,56,Morgan
27/10/07,54,Newspoll
1/11/07,55,Nielsen
2/11/07,57.5,Morgan
3/11/07,53,Newspoll
5/11/07,54,Galaxy
9/11/07,56,Morgan
10/11/07,55,Newspoll
15/11/07,54,Nielsen
16/11/07,56.5,Morgan
17/11/07,54,Newspoll
18/11/07,56,Morgan
21/11/07,52,Newspoll
22/11/07,57,Nielsen
22/11/07,52,Galaxy
23/11/07,54.5,Morgan
10/12/07,58.5,Morgan
14/12/07,60.5,Morgan
18/01/08,61.5,Morgan
19/01/08,58,Newspoll
1/02/08,59,Morgan
15/02/08,62.5,Morgan
16/02/08,57,Newspoll
29/02/08,64.5,Morgan
1/03/08,63,Newspoll
14/03/08,61,Morgan
15/03/08,59,Newspoll
28/03/08,63.5,Morgan
4/04/08,60.5,Morgan
5/04/08,59,Newspoll
11/04/08,63.5,Morgan
18/04/08,62.5,Morgan
19/04/08,61,Newspoll
2/05/08,61.5,Morgan
3/05/08,57,Newspoll
13/05/08,58,Morgan
17/05/08,57,Newspoll
20/05/08,57,Nielsen
23/05/08,60.5,Morgan
30/05/08,61,Morgan
31/05/08,57,Newspoll
6/06/08,63,Morgan
13/06/08,58.5,Morgan
14/06/08,59,Newspoll
16/06/08,56,Nielsen
27/06/08,61,Morgan
28/06/08,55,Newspoll
11/07/08,59,Morgan
12/07/08,55,Newspoll
21/07/08,54,Nielsen
21/07/08,60,Morgan
25/07/08,55,Morgan
26/07/08,57,Newspoll
5/08/08,58,Essential
8/08/08,55,Morgan
9/08/08,57,Newspoll
18/08/08,55,Nielsen
22/08/08,57,Morgan
23/08/08,56,Newspoll
1/09/08,59,Essential
5/09/08,58,Morgan
6/09/08,56,Newspoll
19/09/08,55.5,Morgan
20/09/08,55,Newspoll
21/09/08,52,Nielsen
23/09/08,57,Essential
3/10/08,57.5,Morgan
8/10/08,58,Essential
11/10/08,55,Newspoll
17/10/08,57.5,Morgan
20/10/08,56,Nielsen
25/10/08,54,Newspoll
31/10/08,56.5,Morgan
3/11/08,61,Essential
8/11/08,55,Newspoll
14/11/08,58.5,Morgan
17/11/08,55,Nielsen
17/11/08,55,Galaxy
22/11/08,55,Newspoll
28/11/08,59.5,Morgan
1/12/08,58,Essential
6/12/08,59,Newspoll
12/12/08,59.5,Morgan
15/12/08,58,Essential
24/12/08,60,Morgan
13/01/09,59,Essential
16/01/09,60,Morgan
17/01/09,54,Newspoll
27/01/09,60,Essential
30/01/09,59.5,Morgan
3/02/09,61,Essential
6/02/09,56,Morgan
7/02/09,58,Newspoll
13/02/09,60,Morgan
16/02/09,61,Essential
21/02/09,58,Newspoll
22/02/09,59.5,Morgan
2/03/09,62,Essential
6/03/09,61.5,Morgan
7/03/09,56,Newspoll
13/03/09,60.5,Morgan
17/03/09,58,Essential
20/03/09,57,Morgan
21/03/09,56,Newspoll
30/03/09,58,Nielsen
3/04/09,61,Morgan
4/04/09,58,Newspoll
14/04/09,61,Essential
17/04/09,61,Morgan
18/04/09,58,Newspoll
28/04/09,58,Essential
2/05/09,55,Newspoll
2/05/09,59,Morgan
11/05/09,61,Essential
15/05/09,60,Morgan
16/05/09,56,Newspoll
18/05/09,53,Nielsen
25/05/09,59,Essential
30/05/09,55,Newspoll
5/06/09,58,Morgan
9/06/09,56,Essential
13/06/09,53,Newspoll
14/06/09,57.5,Morgan
21/06/09,57,Morgan
23/06/09,57,Essential
26/06/09,55,Morgan
27/06/09,56,Newspoll
29/06/09,58,Nielsen
29/06/09,56,Galaxy
10/07/09,58,Morgan
11/07/09,55,Newspoll
20/07/09,56,Essential
25/07/09,57,Newspoll
25/07/09,57.5,Morgan
3/08/09,59,Essential
8/08/09,57,Newspoll
8/08/09,60.5,Morgan
17/08/09,56,Nielsen
21/08/09,58,Morgan
22/08/09,55,Newspoll
31/08/09,60,Essential
5/09/09,55,Newspoll
5/09/09,61,Morgan
13/09/09,55,Nielsen
19/09/09,55,Newspoll
21/09/09,62,Morgan
28/09/09,59,Essential
29/09/09,58,Newspoll
2/10/09,59.5,Morgan
10/10/09,58,Newspoll
12/10/09,57,Nielsen
17/10/09,59,Newspoll
17/10/09,60,Morgan
27/10/09,59,Essential
31/10/09,52,Newspoll
31/10/09,60.5,Morgan
6/11/09,61,Morgan
9/11/09,56,Nielsen
13/11/09,59,Morgan
14/11/09,56,Newspoll
20/11/09,56.5,Morgan
24/11/09,55,Essential
27/11/09,58.5,Morgan
28/11/09,57,Newspoll
30/11/09,56,Nielsen
4/12/09,53,Morgan
5/12/09,56,Newspoll
11/12/09,53,Morgan
14/12/09,58,Essential
18/12/09,59,Morgan
8/01/10,57,Morgan
15/01/10,54.5,Morgan
16/01/10,54,Newspoll
21/01/10,58.5,Morgan
30/01/10,52,Newspoll
5/02/10,56.5,Morgan
8/02/10,54,Nielsen
13/02/10,53,Newspoll
14/02/10,53.5,Morgan
19/02/10,57.5,Morgan
22/02/10,54,Essential
26/02/10,56.5,Morgan
27/02/10,52,Newspoll
8/03/10,53,Nielsen
12/03/10,55.5,Morgan
13/03/10,52,Newspoll
22/03/10,56,Essential
26/03/10,56.5,Morgan
27/03/10,56,Newspoll
7/04/10,54,Essential
9/04/10,58,Morgan
16/04/10,54,Essential
17/04/10,54,Newspoll
19/04/10,51,Nielsen
23/04/10,56,Morgan
27/04/10,54,Essential
30/04/10,54.5,Morgan
1/05/10,49,Newspoll
7/05/10,54,Morgan
10/05/10,50,Nielsen
14/05/10,51.5,Morgan
15/05/10,50,Newspoll
17/05/10,50,Galaxy
21/05/10,50.5,Morgan
24/05/10,52,Essential
28/05/10,54.5,Morgan
29/05/10,51,Newspoll
4/06/10,52.5,Morgan
6/06/10,47,Nielsen
11/06/10,52,Morgan
15/06/10,51,Essential
18/06/10,51.5,Morgan
19/06/10,52,Newspoll
26/06/10,53,Newspoll
5/07/10,54,Essential
9/07/10,56.5,Morgan
11/07/10,52,Nielsen
11/07/10,52,Galaxy
15/07/10,52,Galaxy
16/07/10,53.5,Morgan
17/07/10,55,Newspoll
18/07/10,50,Galaxy
23/07/10,55.5,Morgan
24/07/10,54,Nielsen
24/07/10,52,Newspoll
29/07/10,53,Morgan
30/07/10,48,Nielsen
31/07/10,50,Newspoll
4/08/10,50,Morgan
6/08/10,49,Nielsen
7/08/10,52,Newspoll
8/08/10,51,Galaxy
9/08/10,52,Essential
13/08/10,53,Nielsen
14/08/10,52,Newspoll
14/08/10,51,Morgan
16/08/10,51,Essential
18/08/10,50.2,Newspoll
19/08/10,52,Galaxy
20/08/10,51,Morgan
20/08/10,51,Essential
27/08/10,51.5,Morgan
6/09/10,51,Essential
10/09/10,54.5,Morgan
11/09/10,50,Newspoll
13/09/10,50,Essential
20/09/10,50,Essential
27/09/10,51,Essential
4/10/10,51,Essential
8/10/10,55.5,Morgan
9/10/10,50,Newspoll
18/10/10,50,Essential
22/10/10,54,Morgan
23/10/10,48,Newspoll
24/10/10,49,Nielsen
1/11/10,50,Essential
5/11/10,54,Morgan
6/11/10,48,Newspoll
8/11/10,49,Essential
15/11/10,49,Essential
19/11/10,52.5,Morgan
20/11/10,52,Newspoll
21/11/10,49,Nielsen
29/11/10,49,Essential
4/12/10,50,Newspoll
6/12/10,49,Essential
10/12/10,45,Morgan
13/12/10,48,Essential
17/12/10,50,Morgan
14/01/11,50.5,Morgan
18/01/11,48,Essential
25/01/11,49,Essential
28/01/11,52.5,Morgan
31/01/11,49,Essential
4/02/11,49,Morgan
5/02/11,48,Newspoll
11/02/11,51.5,Morgan
13/02/11,46,Nielsen
19/02/11,50,Newspoll
24/02/11,47,Morgan
28/02/11,48,Essential
5/03/11,46,Newspoll
11/03/11,44,Morgan
13/03/11,46,Nielsen
18/03/11,49,Morgan
19/03/11,51,Newspoll
25/03/11,46,Morgan
28/03/11,48,Essential
1/04/11,49.5,Morgan
2/04/11,45,Newspoll
8/04/11,46.5,Morgan
11/04/11,47,Essential
18/04/11,44,Nielsen
19/04/11,46,Essential
21/04/11,47,Morgan
27/04/11,46,Essential
30/04/11,47,Newspoll
2/05/11,47,Essential
6/05/11,46.5,Morgan
9/05/11,46,Essential
13/05/11,45.5,Morgan
14/05/11,46,Newspoll
15/05/11,44,Nielsen
20/05/11,48.5,Morgan
23/05/11,47,Essential
28/05/11,48,Newspoll
30/05/11,48,Essential
2/06/11,48.5,Morgan
3/06/11,42,Morgan
6/06/11,47,Essential
10/06/11,46,Morgan
11/06/11,45,Newspoll
14/06/11,46,Essential
17/06/11,41,Nielsen
20/06/11,45,Essential
24/06/11,46.5,Morgan
25/06/11,45,Newspoll
28/06/11,45,Essential
4/07/11,44,Essential
8/07/11,43.5,Morgan
9/07/11,42,Newspoll
15/07/11,40,Morgan
17/07/11,39,Nielsen
23/07/11,44,Newspoll
29/07/11,43.5,Morgan
1/08/11,44,Essential
3/08/11,44,Galaxy
6/08/11,44,Newspoll
14/08/11,42,Nielsen
20/08/11,43,Newspoll
26/08/11,41.5,Morgan
3/09/11,41,Newspoll
9/09/11,42,Morgan
12/09/11,42,Nielsen
17/09/11,42,Newspoll
23/09/11,42,Morgan
26/09/11,44,Essential
3/10/11,45,Essential
7/10/11,43,Morgan
8/10/11,43,Newspoll
14/10/11,47.5,Morgan
17/10/11,43,Nielsen
17/10/11,42,Galaxy
20/10/11,46.5,Morgan
22/10/11,46,Newspoll
28/10/11,44.5,Morgan
31/10/11,45,Essential
4/11/11,47,Newspoll
4/11/11,48.5,Morgan
13/11/11,45,Nielsen
17/11/11,43.5,Morgan
19/11/11,43,Newspoll
25/11/11,45.5,Morgan
28/11/11,46,Essential
3/12/11,46,Newspoll
9/12/11,44.5,Morgan
11/12/11,43,Nielsen
19/12/11,46,Essential
22/12/11,46.5,Morgan
12/01/12,46,Morgan
16/01/12,46,Essential
23/01/12,46,Essential
28/01/12,46,Newspoll
29/01/12,46,Galaxy
29/01/12,46,Essential
5/02/12,47,Nielsen
9/02/12,45,Morgan
11/02/12,45,Newspoll
20/02/12,45,Essential
24/02/12,47,Newspoll
24/02/12,48,Morgan
24/02/12,46,Galaxy
25/02/12,47,Nielsen
1/03/12,48,Morgan
5/03/12,44,Essential
8/03/12,48,Morgan
10/03/12,47,Newspoll
19/03/12,44,Essential
21/03/12,46,Morgan
24/03/12,43,Newspoll
29/03/12,42.5,Morgan
30/03/12,45,Morgan
1/04/12,47,Nielsen
5/04/12,42.5,Morgan
13/04/12,40.5,Morgan
14/04/12,44,Newspoll
16/04/12,44,Essential
20/04/12,43,Morgan
23/04/12,44,Essential
27/04/12,41.5,Morgan
28/04/12,41,Newspoll
29/04/12,44,Galaxy
4/05/12,39.5,Morgan
7/05/12,42,Essential
8/05/12,42,Morgan
11/05/12,41,Morgan
12/05/12,45,Newspoll
18/05/12,42,Morgan
21/05/12,44,Essential
25/05/12,38.5,Morgan
26/05/12,46,Newspoll
1/06/12,42,Morgan
3/06/12,43,Nielsen
6/06/12,42.5,Morgan
8/06/12,46,Newspoll
8/06/12,45,Morgan
17/06/12,44,Galaxy
22/06/12,43.5,Morgan
23/06/12,45,Newspoll
1/07/12,42,Nielsen
3/07/12,44,Morgan
7/07/12,44,Newspoll
9/07/12,44,Essential
16/07/12,43,Essential
20/07/12,43,Morgan
21/07/12,44,Newspoll
29/07/12,44,Nielsen
4/08/12,46,Newspoll
13/08/12,44,Essential
17/08/12,46,Morgan
18/08/12,47,Newspoll
26/08/12,46,Nielsen
31/08/12,46.5,Morgan
1/09/12,45,Newspoll
5/09/12,48,Morgan
10/09/12,45,Essential
14/09/12,46.5,Morgan
15/09/12,50,Newspoll
16/09/12,47,Nielsen
18/09/12,49.5,Morgan
21/09/12,48,Morgan
24/09/12,45,Essential
1/10/12,47,Essential
2/10/12,46.5,Morgan
6/10/12,46,Newspoll
15/10/12,47,Essential
19/10/12,50.5,Morgan
21/10/12,48,Nielsen
27/10/12,50,Newspoll
31/10/12,47.5,Morgan
4/11/12,47,Galaxy
10/11/12,49,Newspoll
16/11/12,50.5,Morgan
18/11/12,47,Nielsen
24/11/12,49,Newspoll
27/11/12,49,Morgan
1/12/12,49,Galaxy
3/12/12,47,Essential
8/12/12,46,Newspoll
14/12/12,52.5,Morgan
17/12/12,48,Nielsen
12/01/13,49,Newspoll
13/01/13,48,Morgan
27/01/13,49.5,Morgan
2/02/13,44,Newspoll
3/02/13,48.5,Morgan
10/02/13,44,Morgan
23/02/13,45,Newspoll
24/02/13,45.5,Morgan
3/03/13,45.5,Morgan
9/03/13,48,Newspoll
10/03/13,42.5,Morgan
17/03/13,45.5,Morgan
21/03/13,45,Galaxy
23/03/13,42,Newspoll
24/03/13,43,Morgan
31/03/13,41,Morgan
6/04/13,45,Newspoll
7/04/13,43.5,Morgan
10/04/13,43,ReachTEL
11/04/13,43,Nielsen
11/04/13,46,Galaxy
14/04/13,44.5,Morgan
20/04/13,45,Newspoll
21/04/13,45.5,Morgan
28/04/13,42,Morgan
1/05/13,42,ReachTEL
4/05/13,44,Newspoll
4/05/13,44,Morgan
4/05/13,44,Essential
9/05/13,44,Morgan
9/05/13,45,Essential
12/05/13,44,Morgan
16/05/13,46,Galaxy
18/05/13,44,Newspoll
19/05/13,45,Morgan
26/05/13,45.5,Morgan
1/06/13,42,Newspoll
2/06/13,45,Morgan
10/06/13,44,Morgan
13/06/13,43,Nielsen
16/06/13,46.5,Morgan
22/06/13,43,Newspoll
23/06/13,44.5,Morgan
25/06/13,48,ReachTEL
26/06/13,49.5,Morgan
29/06/13,49,Newspoll
30/06/13,51.5,Morgan
6/07/13,50,Newspoll
6/07/13,54.5,Morgan
6/07/13,48,Essential
10/07/13,50,Nielsen
14/07/13,52.5,Morgan
16/07/13,49,ReachTEL
20/07/13,48,Newspoll
21/07/13,52.5,Morgan
25/07/13,50,Galaxy
27/07/13,52,Morgan
2/08/13,48,ReachTEL
3/08/13,48,Newspoll
4/08/13,50,Morgan
7/08/13,48,Nielsen
7/08/13,49,Galaxy
8/08/13,47,ReachTEL
9/08/13,49,Essential
10/08/13,48,Newspoll
11/08/13,50,Morgan
14/08/13,48,Galaxy
17/08/13,46,Newspoll
18/08/13,49,Morgan
21/08/13,47,Nielsen
24/08/13,47,ReachTEL
24/08/13,47,Newspoll
25/08/13,48.5,Morgan
27/08/13,49,Essential
29/08/13,47,Galaxy
31/08/13,46,Newspoll
1/09/13,48,Morgan
3/09/13,47,ReachTEL
3/09/13,47,Galaxy
3/09/13,48,Essential
4/09/13,46,Nielsen
4/09/13,46,Newspoll
6/09/13,46.5,Morgan
13/09/13,47,Essential
22/09/13,49.5,Morgan
3/10/13,48,Essential
6/10/13,50.5,Morgan
11/10/13,48,Essential
17/10/13,48.5,Morgan
17/10/13,47,Essential
20/10/13,48.5,Morgan
26/10/13,44,Newspoll
2/11/13,47,Essential
3/11/13,50,Morgan
9/11/13,47,Newspoll
17/11/13,49,Morgan
23/11/13,48,Newspoll
24/11/13,52,Nielsen
27/11/13,51.5,Morgan
30/11/13,48,Essential
1/12/13,51.5,Morgan
7/12/13,52,Newspoll
13/12/13,52.5,Morgan
14/12/13,52,ReachTEL
10/01/14,52.5,Morgan
17/01/14,49,Essential
25/01/14,53,ReachTEL
26/01/14,53,Morgan
31/01/14,50,Essential
8/02/14,51,Newspoll
9/02/14,52,Morgan
14/02/14,48,Nielsen
16/02/14,51,Essential
22/02/14,54,Newspoll
23/02/14,50.5,Morgan
1/03/14,53,ReachTEL
6/03/14,51.5,Morgan
8/03/14,51,Newspoll
14/03/14,49,Nielsen
22/03/14,52,Newspoll
23/03/14,54.5,Morgan
28/03/14,50,Galaxy
3/04/14,49,Nielsen
4/04/14,55,Morgan
5/04/14,49,Newspoll
10/04/14,52,Nielsen
11/04/14,50,Essential
18/04/14,52,Morgan
3/05/14,53,Newspoll
3/05/14,52,Galaxy
8/05/14,54,ReachTEL
11/05/14,52,Essential
15/05/14,53,Galaxy
16/05/14,56,Nielsen
16/05/14,55,Newspoll
17/05/14,57.5,Morgan
18/05/14,52,Essential
25/05/14,52,Essential
1/06/14,54,Newspoll
1/06/14,56.5,Morgan
2/06/14,53,Essential
8/06/14,60.5,Morgan
9/06/14,54,Essential
15/06/14,53,Newspoll
15/06/14,55.5,Morgan
16/06/14,54,Essential
20/06/14,53,Nielsen
22/06/14,52,Essential
29/06/14,53,ReachTEL
29/06/14,55,Newspoll
29/06/14,57.5,Morgan
29/06/14,52,Essential
6/07/14,53,Essential
12/07/14,56.5,Morgan
13/07/14,54,Newspoll
13/07/14,53,Essential
19/07/14,54,Nielsen
21/07/14,52,ReachTEL
21/07/14,52,Essential
25/07/14,52,Galaxy
26/07/14,54.5,Morgan
27/07/14,54,Newspoll
28/07/14,51,Essential
3/08/14,51,Essential
9/08/14,56.5,Morgan
10/08/14,52,Newspoll
23/08/14,51,Newspoll
23/08/14,52,Essential
29/08/14,52,Essential
6/09/14,52,Newspoll
6/09/14,52,Essential
13/09/14,53,Essential
17/09/14,51,ReachTEL
17/09/14,51,Newspoll
27/09/14,52,Essential
30/09/14,51,Galaxy
10/10/14,52,Essential
21/10/14,52,ReachTEL
27/10/14,53,Essential
27/10/14,53,Essential
3/11/14,52,Essential
10/11/14,52,Essential
16/11/14,55.5,Morgan
16/11/14,55,Newspoll
25/11/14,52,Essential
1/12/14,53.5,Morgan
2/12/14,53,Essential
8/12/14,53,Essential
15/12/14,57.5,Morgan
15/12/14,52,Essential
11/01/15,54.5,Morgan
13/01/15,54,Essential
27/01/15,56.5,Morgan
27/01/15,54,ReachTEL
29/01/15,57,Galaxy
